source,title,company,location,country,remote_type,url,primary_track,fit_score,matched_skills,missing_skills,salary_min,salary_max,currency,seniority_estimate,link_status,link_status_code
adzuna,"Lead Data Engineer - AWS, Databricks & Graph Technologies",GeekSoft Consulting,Nederland,nl,,https://www.adzuna.nl/details/5765742113?utm_medium=api&utm_source=76293b30,backend_cloud,79.2,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Data Engineering; AI,240.0,240.0,,lead,accessible,200
arbeitnow,"Senior Software Engineer (Kotlin,Java) (m/f/d)",Flix,"Munich, Bavaria, Germany",,,https://www.arbeitnow.com/jobs/companies/flix/senior-software-engineer-kotlinjava-munich-274953,backend_cloud,79.2,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Observability; AI,,,,senior,accessible,200
arbeitnow,Full-Stack Developer (m/f/d),Joy_,Berlin,,remote,https://www.arbeitnow.com/jobs/companies/joy/full-stack-developer-berlin-338700,backend_cloud,77.8,IAM; Kubernetes; AWS Lambda; TypeScript; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; PostgreSQL; JavaScript; Git,Observability; Security; AI,,,,senior,accessible,200
arbeitnow,Inhouse Netzwerk Security Engineer (m/w/d) für Firewalls in der AWS Cloud,Polarstern Experts,Cologne,,,https://www.arbeitnow.com/jobs/companies/polarstern-experts/inhouse-netzwerk-security-engineer-fur-firewalls-in-der-aws-cloud-cologne-197554,platform_engineering,76.9,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Terraform; Security,,,,unknown,accessible,200
arbeitnow,Senior Full Stack Engineer- Python (m/f/d),Flix,"Berlin, Berlin, Germany",,,https://www.arbeitnow.com/jobs/companies/flix/senior-full-stack-engineer-python-berlin-423041,backend_cloud,76.3,IAM; AWS Lambda; Python; Serverless; API Gateway; RDS; SQS; SNS; TypeScript; DynamoDB; CloudWatch; X-Ray; Node.js; JavaScript; Agile,Terraform; Observability; Kafka,,,,senior,accessible,200
adzuna,Senior Data Engineer - AWS/Snowflake,Eliassen Group,"Westlake, Denton County",us,,https://www.adzuna.com/land/ad/5767378179?se=EEOimbts8RGl0MKcaJBBpg&utm_medium=api&utm_source=76293b30&v=8C102B06CE50E5C0B80571F06238A0C24370FB1B,data_engineering,76.0,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Observability; Data Engineering,131825.47,131825.47,,senior,unknown,403
adzuna,Data Scientist als Senior Data Engineer – Snowflake / AWS / dbt (d/m/w),Haufe Group SE,"Freiburg im Breisgau, Baden-Württemberg",de,,https://www.adzuna.de/land/ad/5714476425?se=HqJrpLts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=A144376FDA603B55D9A6C3FF585BF3F41BB3E2DC,data_engineering,76.0,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,dbt; Data Engineering,,,,senior,unknown,403
arbeitnow,Senior Corporate Infrastructure Engineer,Wolt - English,"Berlin, Berlin, Germany",,,https://www.arbeitnow.com/jobs/companies/wolt-english/senior-corporate-infrastructure-engineer-berlin-301509,platform_engineering,75.7,IAM; Kubernetes; AWS Lambda; X-Ray; Python; RDS; Docker; Microservices; API Gateway; DynamoDB; SQS; SNS; CloudWatch,Terraform; Observability; Security,,,,senior,accessible,200
arbeitnow,Senior Analytics Engineer - Risk Analytics,SumUp,"Berlin, Germany",,,https://www.arbeitnow.com/jobs/companies/sumup/senior-analytics-engineer-risk-analytics-berlin-301309,data_engineering,73.3,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,dbt; Observability; CI/CD,,,,senior,accessible,200
arbeitnow,(Senior) Full Stack Engineer (f/m/d),Pricenow,Munich,,,https://www.arbeitnow.com/jobs/companies/pricenow/senior-full-stack-engineer-munich-248597,backend_cloud,71.4,Microservices; Node.js; JavaScript,CI/CD,,,,senior,accessible,200
